iter	Passed	Remaining
479	2252	2439
480	2256	2434
481	2260	2429
482	2264	2423
483	2267	2417
484	2273	2414
485	2277	2408
486	2281	2402
487	2285	2397
488	2289	2392
489	2292	2386
490	2296	2380
491	2300	2375
492	2304	2369
493	2308	2364
494	2311	2358
495	2315	2352
496	2319	2347
497	2323	2342
498	2326	2336
499	2330	2330
500	2335	2326
501	2339	2320
502	2343	2315
503	2348	2311
504	2352	2305
505	2356	2300
506	2360	2295
507	2364	2290
508	2369	2285
509	2372	2279
510	2376	2274
511	2381	2270
512	2386	2265
513	2390	2260
514	2394	2254
515	2398	2249
516	2402	2244
517	2405	2238
518	2409	2233
519	2414	2228
520	2418	2223
521	2421	2217
522	2425	2212
523	2429	2207
524	2433	2201
525	2437	2196
526	2441	2191
527	2445	2186
528	2450	2181
529	2453	2175
530	2457	2170
531	2461	2165
532	2465	2160
533	2469	2154
534	2472	2149
535	2477	2144
536	2481	2139
537	2485	2134
538	2490	2130
539	2495	2125
540	2499	2120
541	2503	2115
542	2509	2112
543	2513	2106
544	2517	2101
545	2521	2096
546	2525	2091
547	2529	2086
548	2532	2080
549	2537	2075
550	2541	2070
551	2545	2065
552	2548	2060
553	2553	2055
554	2557	2050
555	2560	2045
556	2564	2039
557	2568	2034
558	2572	2029
559	2575	2023
560	2580	2019
561	2584	2014
562	2588	2009
563	2592	2004
564	2596	1998
565	2601	1994
566	2606	1990
